本端端口ID,本端IP,本端端口,对端端口ID,对端IP,对端端口,本端设备调控云ID,连接线名称
1,192.168.100.13,GigabitEthernet1/0/1,30,10.15.5.133,ETH0,,192.168.100.13:GigabitEthernet1/0/1-10.15.5.133
1,192.168.100.13,GigabitEthernet1/0/1,31,10.15.0.68,ETH0,,192.168.100.13:GigabitEthernet1/0/1-10.15.0.68
1,192.168.100.13,GigabitEthernet1/0/1,32,10.15.1.169,ETH0,,192.168.100.13:GigabitEthernet1/0/1-10.15.1.169
1,192.168.100.13,GigabitEthernet1/0/1,33,10.15.0.80,ETH0,,192.168.100.13:GigabitEthernet1/0/1-10.15.0.80
1,192.168.100.13,GigabitEthernet1/0/1,34,10.15.5.63,ETH0,,192.168.100.13:GigabitEthernet1/0/1-10.15.5.63
1,192.168.100.13,GigabitEthernet1/0/1,35,10.15.0.29,ETH0,,192.168.100.13:GigabitEthernet1/0/1-10.15.0.29
1,192.168.100.13,GigabitEthernet1/0/1,36,10.15.0.55,ETH0,,192.168.100.13:GigabitEthernet1/0/1-10.15.0.55
1,192.168.100.13,GigabitEthernet1/0/1,37,10.15.5.187,ETH0,,192.168.100.13:GigabitEthernet1/0/1-10.15.5.187
1,192.168.100.13,GigabitEthernet1/0/1,38,10.15.5.203,ETH0,,192.168.100.13:GigabitEthernet1/0/1-10.15.5.203
2,192.168.100.13,GigabitEthernet1/0/2,39,10.15.1.158,ETH0,,192.168.100.13:GigabitEthernet1/0/2-10.15.1.158
2,192.168.100.13,GigabitEthernet1/0/2,40,10.15.0.9,ETH0,,192.168.100.13:GigabitEthernet1/0/2-10.15.0.9
2,192.168.100.13,GigabitEthernet1/0/2,41,10.15.1.21,ETH0,,192.168.100.13:GigabitEthernet1/0/2-10.15.1.21
2,192.168.100.13,GigabitEthernet1/0/2,42,10.15.0.21,ETH0,,192.168.100.13:GigabitEthernet1/0/2-10.15.0.21
2,192.168.100.13,GigabitEthernet1/0/2,43,10.15.1.66,ETH0,,192.168.100.13:GigabitEthernet1/0/2-10.15.1.66
2,192.168.100.13,GigabitEthernet1/0/2,44,10.15.0.19,ETH0,,192.168.100.13:GigabitEthernet1/0/2-10.15.0.19
2,192.168.100.13,GigabitEthernet1/0/2,45,10.15.0.13,ETH0,,192.168.100.13:GigabitEthernet1/0/2-10.15.0.13
2,192.168.100.13,GigabitEthernet1/0/2,46,10.15.0.6,ETH0,,192.168.100.13:GigabitEthernet1/0/2-10.15.0.6
2,192.168.100.13,GigabitEthernet1/0/2,47,10.15.0.10,ETH0,,192.168.100.13:GigabitEthernet1/0/2-10.15.0.10
2,192.168.100.13,GigabitEthernet1/0/2,48,10.15.0.66,ETH0,,192.168.100.13:GigabitEthernet1/0/2-10.15.0.66
2,192.168.100.13,GigabitEthernet1/0/2,49,10.15.0.77,ETH0,,192.168.100.13:GigabitEthernet1/0/2-10.15.0.77
2,192.168.100.13,GigabitEthernet1/0/2,50,10.15.1.88,ETH0,,192.168.100.13:GigabitEthernet1/0/2-10.15.1.88
2,192.168.100.13,GigabitEthernet1/0/2,51,10.15.0.70,ETH0,,192.168.100.13:GigabitEthernet1/0/2-10.15.0.70
13,192.168.100.13,GigabitEthernet1/0/13,52,10.15.1.69,ETH0,,192.168.100.13:GigabitEthernet1/0/13-10.15.1.69
13,192.168.100.13,GigabitEthernet1/0/13,53,10.15.0.60,ETH0,,192.168.100.13:GigabitEthernet1/0/13-10.15.0.60
13,192.168.100.13,GigabitEthernet1/0/13,54,10.15.5.4,ETH0,,192.168.100.13:GigabitEthernet1/0/13-10.15.5.4
13,192.168.100.13,GigabitEthernet1/0/13,55,10.15.1.87,ETH0,,192.168.100.13:GigabitEthernet1/0/13-10.15.1.87
13,192.168.100.13,GigabitEthernet1/0/13,56,10.15.5.60,ETH0,,192.168.100.13:GigabitEthernet1/0/13-10.15.5.60
14,192.168.100.13,GigabitEthernet1/0/14,57,10.15.5.101,ETH0,,192.168.100.13:GigabitEthernet1/0/14-10.15.5.101
16,192.168.100.13,GigabitEthernet1/0/16,58,10.15.1.210,ETH0,,192.168.100.13:GigabitEthernet1/0/16-10.15.1.210
16,192.168.100.13,GigabitEthernet1/0/16,59,10.15.0.18,ETH0,,192.168.100.13:GigabitEthernet1/0/16-10.15.0.18
16,192.168.100.13,GigabitEthernet1/0/16,60,10.15.0.24,ETH0,,192.168.100.13:GigabitEthernet1/0/16-10.15.0.24
16,192.168.100.13,GigabitEthernet1/0/16,61,10.15.0.159,ETH0,,192.168.100.13:GigabitEthernet1/0/16-10.15.0.159
16,192.168.100.13,GigabitEthernet1/0/16,62,10.15.0.98,ETH0,,192.168.100.13:GigabitEthernet1/0/16-10.15.0.98
16,192.168.100.13,GigabitEthernet1/0/16,63,10.15.0.69,ETH0,,192.168.100.13:GigabitEthernet1/0/16-10.15.0.69
