port_id,设备ID,端口名,IP,状态
1,1,GigabitEthernet1/0/1,10.15.1.1,UP
2,1,GigabitEthernet1/0/2,10.15.1.1,UP
3,1,GigabitEthernet1/0/3,,DOWN
4,1,GigabitEthernet1/0/4,,DOWN
5,1,GigabitEthernet1/0/5,,DOWN
6,1,GigabitEthernet1/0/6,,DOWN
7,1,GigabitEthernet1/0/7,,DOWN
8,1,GigabitEthernet1/0/8,,DOWN
9,1,GigabitEthernet1/0/9,,DOWN
10,1,GigabitEthernet1/0/10,,DOWN
11,1,GigabitEthernet1/0/11,,DOWN
12,1,GigabitEthernet1/0/12,,DOWN
13,1,GigabitEthernet1/0/13,10.15.1.1,UP
14,1,GigabitEthernet1/0/14,10.15.1.1,UP
15,1,GigabitEthernet1/0/15,10.15.1.1,UP
16,1,GigabitEthernet1/0/16,10.15.1.1,UP
17,1,GigabitEthernet1/0/17,,DOWN
18,1,GigabitEthernet1/0/18,,DOWN
19,1,GigabitEthernet1/0/19,,DOWN
20,1,GigabitEthernet1/0/20,10.15.1.1,UP
21,1,GigabitEthernet1/0/21,,DOWN
22,1,GigabitEthernet1/0/22,,DOWN
23,1,GigabitEthernet1/0/23,10.15.1.1,UP
24,1,GigabitEthernet1/0/24,,DOWN
25,1,GigabitEthernet1/0/25,10.15.1.1,UP
26,1,GigabitEthernet1/0/26,10.15.1.1,UP
27,1,GigabitEthernet1/0/27,,DOWN
28,1,GigabitEthernet1/0/28,,DOWN
30,2,ETH0,10.15.5.133,DOWN
31,3,ETH0,10.15.0.68,DOWN
32,4,ETH0,10.15.1.169,DOWN
33,5,ETH0,10.15.0.80,DOWN
34,6,ETH0,10.15.5.63,DOWN
35,7,ETH0,10.15.0.29,DOWN
36,8,ETH0,10.15.0.55,DOWN
37,9,ETH0,10.15.5.187,DOWN
38,10,ETH0,10.15.5.203,DOWN
39,11,ETH0,10.15.1.158,DOWN
40,12,ETH0,10.15.0.9,DOWN
41,13,ETH0,10.15.1.21,DOWN
42,14,ETH0,10.15.0.21,DOWN
43,15,ETH0,10.15.1.66,DOWN
44,16,ETH0,10.15.0.19,DOWN
45,17,ETH0,10.15.0.13,DOWN
46,18,ETH0,10.15.0.6,DOWN
47,19,ETH0,10.15.0.10,DOWN
48,20,ETH0,10.15.0.66,DOWN
49,21,ETH0,10.15.0.77,DOWN
50,22,ETH0,10.15.1.88,DOWN
51,23,ETH0,10.15.0.70,DOWN
52,24,ETH0,10.15.1.69,DOWN
53,25,ETH0,10.15.0.60,DOWN
54,26,ETH0,10.15.5.4,DOWN
55,27,ETH0,10.15.1.87,DOWN
56,28,ETH0,10.15.5.60,DOWN
57,29,ETH0,10.15.5.101,DOWN
58,30,ETH0,10.15.1.210,DOWN
59,31,ETH0,10.15.0.18,DOWN
60,32,ETH0,10.15.0.24,DOWN
61,33,ETH0,10.15.0.159,DOWN
62,34,ETH0,10.15.0.98,DOWN
63,35,ETH0,10.15.0.69,DOWN
