iter	RMSE
0	23.89199616
1	22.89571843
2	21.90301163
3	21.02743759
4	20.15837305
5	19.31213852
6	18.51771331
7	17.80143752
8	17.06873507
9	16.3893688
10	15.74650371
11	15.18255688
12	14.59746819
13	14.04823348
14	13.52436586
15	13.04225283
16	12.59167445
17	12.14636401
18	11.76705755
19	11.36846889
20	11.02278754
21	10.68901941
22	10.35792841
23	10.05094945
24	9.734735157
25	9.473060276
26	9.214136435
27	8.946914112
28	8.722575073
29	8.507986615
30	8.292622548
31	8.099689477
32	7.916837407
33	7.736854436
34	7.561393976
35	7.41620138
36	7.286184645
37	7.156452301
38	7.02110184
39	6.884571709
40	6.781274759
41	6.689572993
42	6.594699037
43	6.483350208
44	6.399344493
45	6.309351752
46	6.203731736
47	6.131865543
48	6.063634647
49	5.996087379
50	5.910356128
51	5.850853196
52	5.774910172
53	5.701093428
54	5.636109398
55	5.58614103
56	5.544018586
57	5.504212768
58	5.456607223
59	5.398620644
60	5.352793766
61	5.314864795
62	5.277965411
63	5.232750278
64	5.191361181
65	5.159645343
66	5.127492573
67	5.106143293
68	5.074126174
69	5.045499889
70	5.016318838
71	4.985229928
72	4.958026932
73	4.931110876
74	4.90031541
75	4.874741196
76	4.8575385
77	4.833029638
78	4.810839562
79	4.78827321
80	4.775994912
81	4.748309356
82	4.727017837
83	4.696559372
84	4.68091014
85	4.662268786
86	4.646244335
87	4.62534628
88	4.610430262
89	4.594278937
90	4.575017695
91	4.560799491
92	4.545344692
93	4.5275349
94	4.512824155
95	4.499190521
96	4.490863196
97	4.477602848
98	4.4561118
99	4.445551239
100	4.434020946
101	4.419887297
102	4.407856387
103	4.397223572
104	4.38771749
105	4.376743051
106	4.366684441
107	4.342035615
108	4.329836961
109	4.326433448
110	4.315190103
111	4.306091022
112	4.295118066
113	4.285680077
114	4.275176214
115	4.265486286
116	4.244091931
117	4.2347487
118	4.223152154
119	4.215040377
120	4.208962338
121	4.196975167
122	4.187378086
123	4.179796473
124	4.168515035
125	4.160289375
126	4.156363696
127	4.14651712
128	4.136838499
129	4.127199725
130	4.114136338
131	4.106675527
132	4.097442
133	4.089221466
134	4.079308745
135	4.071204245
136	4.063814467
137	4.048755872
138	4.038430053
139	4.030141154
140	4.023081975
141	4.0184921
142	4.012503516
143	4.005845972
144	3.999349983
145	3.994477723
146	3.987555731
147	3.979144132
148	3.973805479
149	3.963234753
150	3.958424292
151	3.95104091
152	3.93434095
153	3.926350869
154	3.919186645
155	3.909064161
156	3.896595478
157	3.890512085
158	3.884052436
159	3.873109086
160	3.866964188
161	3.859328166
162	3.85237675
163	3.846213672
164	3.84144566
165	3.834046706
166	3.829152734
167	3.816686396
168	3.813725576
169	3.809187608
170	3.805101448
171	3.801783357
172	3.794604413
173	3.784864621
174	3.779671979
175	3.774348433
176	3.766716528
177	3.763002893
178	3.752654463
179	3.745516302
180	3.738259874
181	3.735505523
182	3.729395729
183	3.720836047
184	3.715996178
185	3.709836604
186	3.706427804
187	3.702190965
188	3.696362975
189	3.692375073
190	3.687923993
191	3.682772403
192	3.67737716
193	3.673619783
194	3.665606181
195	3.659374506
196	3.654853019
197	3.650863472
198	3.648190094
199	3.645953943
200	3.640363285
201	3.632848145
202	3.628150615
203	3.623613578
204	3.615806685
205	3.613429355
206	3.609429891
207	3.605130507
208	3.597245942
209	3.594925475
210	3.592011331
211	3.585911138
212	3.582010438
213	3.574743548
214	3.570423802
215	3.56433119
216	3.559096523
217	3.555658814
218	3.549244709
219	3.545222602
220	3.540316776
221	3.536541558
222	3.529234441
223	3.525540297
224	3.515563075
225	3.511274055
226	3.507542372
227	3.505251869
228	3.496251739
229	3.49077941
230	3.481801383
231	3.476441274
232	3.471734381
233	3.46862478
234	3.464778009
235	3.456912966
236	3.450614542
237	3.445903757
238	3.443248612
239	3.439576244
240	3.432607756
241	3.425620169
242	3.419511911
243	3.416738433
244	3.411202468
245	3.40612742
246	3.400120091
247	3.394837469
248	3.391381546
249	3.383879936
250	3.378129807
251	3.371291373
252	3.369609474
253	3.366887598
254	3.360804992
255	3.358170556
256	3.351250958
257	3.346728623
258	3.343549452
259	3.339981491
260	3.336355258
261	3.333453263
262	3.324844246
263	3.321830089
264	3.318988688
265	3.3148997
266	3.311019018
267	3.307457541
268	3.302456072
269	3.300197972
270	3.296019517
271	3.288135272
272	3.283153676
273	3.276482197
274	3.273431544
275	3.268779748
276	3.266651307
277	3.262551699
278	3.256392674
279	3.252691841
280	3.250356342
281	3.244328019
282	3.241247878
283	3.236907307
284	3.235299099
285	3.228973768
286	3.226282148
287	3.224533681
288	3.223047715
289	3.221022838
290	3.217251898
291	3.211582237
292	3.205932216
293	3.204134791
294	3.200800133
295	3.198777322
296	3.193216088
297	3.189495495
298	3.184922488
299	3.181883915
300	3.180276661
301	3.17770332
302	3.175511639
303	3.174070676
304	3.171330553
305	3.169378644
306	3.164802362
307	3.163312581
308	3.159589147
309	3.15724684
310	3.15517066
311	3.152714599
312	3.148347791
313	3.146587801
314	3.140384456
315	3.136881455
316	3.134129416
317	3.131378508
318	3.128522279
319	3.125900336
320	3.122159545
321	3.115173582
322	3.110562637
323	3.104893004
324	3.102637528
325	3.098240186
326	3.093046139
327	3.090261562
328	3.087054796
329	3.085500364
330	3.081494268
331	3.078991125
332	3.075979763
333	3.074291403
334	3.071274447
335	3.067473716
336	3.062255457
337	3.05963883
338	3.057645876
339	3.053955341
340	3.052390641
341	3.051644563
342	3.048294259
343	3.045240529
344	3.039647493
345	3.037387902
346	3.035153326
347	3.033285851
348	3.029476057
349	3.027135219
350	3.025288613
351	3.022977417
352	3.0201576
353	3.017693569
354	3.013159125
355	3.01126775
356	3.009597847
357	3.004972277
358	3.003448639
359	3.000470516
360	2.996161435
361	2.991702324
362	2.990256294
363	2.987182607
364	2.984600301
365	2.981831431
366	2.978794955
367	2.978128508
368	2.97352863
369	2.969278572
370	2.968053233
371	2.963608255
372	2.959991835
373	2.958912756
374	2.957861507
375	2.954348528
376	2.951464054
377	2.949165547
378	2.94735278
379	2.943450576
380	2.941799912
381	2.937947955
382	2.936424771
383	2.932504034
384	2.930593458
385	2.926468072
386	2.925755641
387	2.921479426
388	2.918866924
389	2.918105027
390	2.916629966
391	2.913228557
392	2.910941235
393	2.906596216
394	2.902275543
395	2.900995812
396	2.898891255
397	2.896661523
398	2.893355153
399	2.889071034
400	2.885120507
401	2.883538345
402	2.882701725
403	2.880983079
404	2.87878018
405	2.87562485
406	2.873593377
407	2.871896148
408	2.869822125
409	2.866277551
410	2.862356207
411	2.85881691
412	2.853867212
413	2.851703618
414	2.848141418
415	2.843492454
416	2.841587372
417	2.839243072
418	2.834912984
419	2.831696366
420	2.829773915
421	2.827713013
422	2.826495765
423	2.823191855
424	2.821427738
425	2.819271512
426	2.818510917
427	2.814471812
428	2.810308337
429	2.80953367
430	2.806230344
431	2.803310007
432	2.799890365
433	2.796629545
434	2.795839259
435	2.792241135
436	2.790923439
437	2.788110852
438	2.787158968
439	2.786439985
440	2.785531861
441	2.784385253
442	2.781325747
443	2.780179584
444	2.778080016
445	2.775531286
446	2.772839812
447	2.771216232
448	2.766193954
449	2.76372957
450	2.761465485
451	2.760744547
452	2.759661268
453	2.757959596
454	2.756636952
455	2.754968198
456	2.753913849
457	2.752247646
458	2.749534283
459	2.745587143
460	2.744203234
461	2.739344209
462	2.738554049
463	2.737803155
464	2.736998426
465	2.735928238
466	2.733840494
467	2.731600761
468	2.728508408
469	2.725231181
470	2.72294934
471	2.721155652
472	2.718101457
473	2.713800209
474	2.711990661
475	2.708748196
476	2.706359771
477	2.705176666
478	2.704471101
479	2.703523766
480	2.702542792
481	2.700352612
482	2.699032916
483	2.69644226
484	2.69443598
485	2.692232299
486	2.689782757
487	2.686157054
488	2.682837652
489	2.682287609
490	2.680496722
491	2.679346781
492	2.67802649
493	2.67426272
494	2.673149105
495	2.670550264
496	2.668751009
497	2.667313212
498	2.66527774
499	2.663438666
500	2.659909294
501	2.659442145
502	2.658676074
503	2.657725969
504	2.656566446
505	2.655280679
506	2.653581326
507	2.649979044
508	2.647478802
509	2.645654315
510	2.644691705
511	2.641996683
512	2.639826611
513	2.63900125
514	2.636563923
515	2.634979697
516	2.632911403
517	2.629575263
518	2.628133005
519	2.626501785
520	2.623914025
521	2.620968625
522	2.619700698
523	2.618083522
524	2.615604754
525	2.613684958
526	2.612405017
527	2.611217599
528	2.607834361
529	2.606102406
530	2.604664302
531	2.603721115
532	2.60334556
533	2.600241341
534	2.598989695
535	2.598126399
536	2.596032226
537	2.594367587
538	2.592957819
539	2.590562545
540	2.587778439
541	2.587138551
542	2.584318864
543	2.581430877
544	2.580652318
545	2.578713492
546	2.578107388
547	2.575812634
548	2.573946175
549	2.573128594
550	2.57214989
551	2.57056194
552	2.569771629
553	2.569496583
554	2.569304466
555	2.56705118
556	2.566491774
557	2.565165885
558	2.563835029
559	2.56134457
560	2.559547939
561	2.55797504
562	2.556283212
563	2.554183009
564	2.553085179
565	2.550830622
566	2.547783523
567	2.545586218
568	2.545157186
569	2.542867133
570	2.540007474
571	2.539592294
572	2.537275246
573	2.536427764
574	2.534898119
575	2.533070492
576	2.532689483
577	2.530949701
578	2.53037137
579	2.529970056
580	2.528905536
581	2.52627767
582	2.52478969
583	2.52308443
584	2.520180335
585	2.519788204
586	2.518300621
587	2.515917101
588	2.513551564
589	2.512682124
590	2.512302027
591	2.510923834
592	2.510555984
593	2.507297252
594	2.506939124
595	2.505308629
596	2.503301733
597	2.501435496
598	2.497567921
599	2.494566381
600	2.493755145
601	2.491709641
602	2.491380716
603	2.490547398
604	2.490227263
605	2.487477079
606	2.486340273
607	2.484015344
608	2.482828478
609	2.482520894
610	2.480493903
611	2.47979528
612	2.479496131
613	2.477640309
614	2.476976181
615	2.475635539
616	2.473421819
617	2.472504753
618	2.469361907
619	2.467071212
620	2.465600154
621	2.465141647
622	2.464052251
623	2.461961269
624	2.459909765
625	2.458502848
626	2.456680434
627	2.455724572
628	2.455441917
629	2.452910989
630	2.451095189
631	2.450570814
632	2.447786967
633	2.447034401
634	2.446676857
635	2.445720611
636	2.444744007
637	2.441642977
638	2.439939654
639	2.438833289
640	2.436082549
641	2.433575177
642	2.43115806
643	2.428811865
644	2.426964543
645	2.425461317
646	2.423481326
647	2.422382889
648	2.4215109
649	2.419609175
650	2.418317523
651	2.416063565
652	2.415705468
653	2.413085503
654	2.412115226
655	2.411755199
656	2.410435277
657	2.409435305
658	2.408696201
659	2.407951354
660	2.4046932
661	2.404106976
662	2.403074652
663	2.401472934
664	2.400740538
665	2.399005041
666	2.397359542
667	2.396980796
668	2.396108945
669	2.393813133
670	2.393550778
671	2.393296544
672	2.392153123
673	2.390905844
674	2.390305248
675	2.38975154
676	2.388306963
677	2.386023661
678	2.385124419
679	2.383602465
680	2.381695555
681	2.379841214
682	2.37926589
683	2.378555987
684	2.378199017
685	2.377775123
686	2.375983751
687	2.374581227
688	2.372864244
689	2.371889577
690	2.37029225
691	2.368732592
692	2.366967472
693	2.36400555
694	2.363302487
695	2.360519858
696	2.358871162
697	2.357843797
698	2.356924971
699	2.356411086
700	2.354843441
701	2.353796232
702	2.352935941
703	2.352392352
704	2.349216277
705	2.348276234
706	2.346711505
707	2.344076197
708	2.343205244
709	2.342678644
710	2.340860281
711	2.340676033
712	2.340398511
713	2.339608886
714	2.338916271
715	2.338659767
716	2.337436416
717	2.336271618
718	2.335206288
719	2.334023888
720	2.332572133
721	2.330759976
722	2.329491885
723	2.328117189
724	2.326463734
725	2.324504684
726	2.323441759
727	2.322751447
728	2.321244694
729	2.320636569
730	2.318369008
731	2.317877941
732	2.316840356
733	2.315329783
734	2.313862636
735	2.313192843
736	2.311112206
737	2.310688794
738	2.309471725
739	2.307392932
740	2.305901489
741	2.303238909
742	2.301411331
743	2.300028531
744	2.298299061
745	2.295425633
746	2.293952063
747	2.293375794
748	2.292560616
749	2.290691767
750	2.288612716
751	2.286355393
752	2.285559899
753	2.285041153
754	2.284090957
755	2.282832792
756	2.282504083
757	2.280839195
