iter	Passed	Remaining
0	177	176959
1	184	92252
2	197	65669
3	207	51655
4	214	42764
5	219	36360
6	223	31667
7	227	28169
8	230	25368
9	233	23098
10	236	21238
11	239	19703
12	242	18440
13	245	17317
14	248	16338
15	251	15478
16	254	14725
17	258	14087
18	262	13527
19	265	12985
20	267	12492
21	271	12053
22	274	11668
23	277	11295
24	280	10940
25	283	10620
26	286	10320
27	289	10046
28	292	9800
29	295	9558
30	298	9331
31	301	9122
32	304	8925
33	308	8751
34	310	8574
35	313	8407
36	316	8245
37	319	8093
38	322	7957
39	325	7821
40	328	7693
41	331	7567
42	334	7452
43	338	7350
44	341	7251
45	344	7146
46	347	7048
47	350	6960
48	353	6867
49	356	6779
50	359	6692
51	362	6611
52	365	6532
53	368	6454
54	371	6385
55	374	6313
56	377	6243
57	380	6187
58	383	6123
59	387	6063
60	389	6003
61	392	5944
62	395	5889
63	398	5833
64	401	5778
65	405	5731
66	408	5682
67	411	5634
68	413	5583
69	416	5536
70	419	5491
71	422	5451
72	426	5412
73	429	5373
74	432	5329
75	434	5284
76	437	5248
77	441	5213
78	444	5179
79	447	5141
80	449	5103
81	452	5069
82	456	5038
83	458	5004
84	461	4970
85	464	4938
86	467	4906
87	471	4885
88	474	4856
89	477	4825
90	480	4796
91	482	4766
92	486	4747
93	489	4720
94	492	4693
95	495	4667
96	498	4642
97	501	4618
98	504	4593
99	507	4568
100	510	4542
101	513	4521
102	516	4502
103	520	4480
104	523	4458
105	526	4436
106	529	4417
107	532	4400
108	535	4381
109	538	4359
110	541	4338
111	544	4318
112	547	4299
113	550	4280
114	553	4260
115	556	4241
116	559	4223
117	562	4204
118	565	4185
119	568	4171
120	571	4152
121	574	4135
122	577	4119
123	580	4102
124	583	4087
125	586	4071
126	589	4055
127	593	4039
128	596	4024
129	599	4011
130	602	3995
131	605	3982
132	608	3968
133	611	3954
134	615	3941
135	618	3927
136	621	3915
137	624	3901
138	627	3886
139	630	3872
140	633	3860
141	637	3849
142	639	3834
143	642	3821
144	645	3807
145	648	3795
146	652	3786
147	655	3772
148	658	3761
149	661	3748
150	664	3738
151	668	3729
152	671	3715
153	674	3703
154	677	3690
155	680	3680
156	684	3673
157	687	3661
158	689	3649
159	692	3637
160	695	3626
161	699	3617
162	702	3605
163	705	3595
164	708	3583
165	711	3572
166	714	3565
167	717	3554
168	720	3543
169	723	3532
170	726	3521
171	730	3514
172	733	3505
173	736	3495
174	739	3484
175	742	3474
176	745	3467
177	748	3458
178	752	3449
179	754	3439
180	758	3431
181	762	3425
182	765	3416
183	768	3407
184	771	3398
185	774	3390
186	778	3383
187	780	3373
188	784	3364
189	787	3356
190	790	3347
191	793	3339
192	796	3329
193	799	3321
194	802	3312
195	805	3304
196	808	3296
197	812	3291
198	815	3283
199	819	3277
200	822	3269
201	825	3261
202	828	3253
203	832	3246
204	835	3241
205	838	3233
206	842	3227
207	846	3221
208	849	3215
209	852	3208
210	855	3199
211	859	3193
212	862	3187
213	866	3181
214	869	3173
215	872	3166
216	876	3161
217	879	3156
218	882	3148
219	885	3140
220	888	3132
221	892	3128
222	895	3121
223	899	3114
224	902	3107
225	904	3099
226	908	3093
227	911	3085
228	914	3077
229	917	3070
230	920	3062
231	923	3057
232	926	3049
233	929	3043
